,date,dji
0,2022-01-03,1000000.0
1,2022-01-04,1005865.5049902436
2,2022-01-05,995136.0138376162
3,2022-01-06,990471.7975821542
4,2022-01-07,990340.3615824638
5,2022-01-10,985890.7565044003
6,2022-01-11,990896.8558394794
7,2022-01-12,991943.7526526102
8,2022-01-13,987113.9334438421
9,2022-01-14,981597.6787825888
10,2022-01-18,966746.2649914182
11,2022-01-19,957457.7651075325
12,2022-01-20,948895.3129879801
13,2022-01-21,936594.6758276811
14,2022-01-24,939304.2220211355
15,2022-01-25,937479.1728394073
16,2022-01-26,933935.63266254
17,2022-01-27,933735.8627556182
18,2022-01-28,949170.7840515067
19,2022-01-31,960278.8877588881
20,2022-02-01,967751.3072863698
21,2022-02-02,973876.4811240927
22,2022-02-03,959713.1043613582
23,2022-02-04,959127.5681937693
24,2022-02-07,959165.5789296668
25,2022-02-08,969324.1616417221
26,2022-02-09,977668.4791167842
27,2022-02-10,963278.2124276955
28,2022-02-11,949514.9093374547
29,2022-02-14,944816.6329001071
30,2022-02-15,956369.6544066027
31,2022-02-16,954878.0533378178
32,2022-02-17,937870.0641431168
33,2022-02-18,931505.4013148939
34,2022-02-22,918315.0353280962
35,2022-02-23,905609.092680531
36,2022-02-24,908125.5955860567
37,2022-02-25,930946.9851667373
38,2022-02-28,926405.5564008318
39,2022-03-01,910069.5884750595
40,2022-03-02,926371.3894472161
41,2022-03-03,923728.4688133122
42,2022-03-04,918812.2712749346
43,2022-03-07,897015.8903027246
44,2022-03-08,891966.3348735155
45,2022-03-09,909831.8078322402
46,2022-03-10,906765.5372886921
47,2022-03-11,900482.1277470364
48,2022-03-14,900510.7425706895
49,2022-03-15,916886.32280831
50,2022-03-16,931065.9288740121
51,2022-03-17,942482.0690225849
52,2022-03-18,949976.0564395365
53,2022-03-21,944456.2783111915
54,2022-03-22,951411.9226652359
55,2022-03-23,939140.2206437801
56,2022-03-24,948691.6992987766
57,2022-03-25,952881.849072821
58,2022-03-28,955469.0348636392
59,2022-03-29,964716.0005445358
60,2022-03-30,962928.855326975
61,2022-03-31,947882.9034436552
62,2022-04-01,951707.3600422817
63,2022-04-04,954539.3734101022
64,2022-04-05,946866.8636605087
65,2022-04-06,942912.5726381426
66,2022-04-07,945292.1941857454
67,2022-04-08,949051.947115962
68,2022-04-11,937762.0111523072
69,2022-04-12,935364.345182326
70,2022-04-13,944773.3903494372
71,2022-04-14,941674.8747434141
72,2022-04-18,940594.1312918579
73,2022-04-19,954247.4595001481
74,2022-04-20,961069.6391916312
75,2022-04-21,951010.1406450614
76,2022-04-22,924185.9856765724
77,2022-04-25,930693.0819926808
78,2022-04-26,908572.5420480419
79,2022-04-27,910260.389556657
80,2022-04-28,927055.7962368303
81,2022-04-29,901384.669181141
82,2022-05-02,903688.589572139
83,2022-05-03,905527.8393939637
84,2022-05-04,931010.0872591964
85,2022-05-05,901952.0541546214
86,2022-05-06,899257.0289164537
87,2022-05-09,881389.8476100483
88,2022-05-10,879067.6158673469
89,2022-05-11,870139.6307299716
90,2022-05-12,867302.1720039186
91,2022-05-13,880049.4353110127
92,2022-05-16,880780.8750477136
93,2022-05-17,892566.2852246611
94,2022-05-18,860735.817377633
95,2022-05-19,854259.4179339136
96,2022-05-20,854499.1204678736
97,2022-05-23,871400.5514759857
98,2022-05-24,872722.919352643
99,2022-05-25,877961.6742874989
100,2022-05-26,892090.6705531576
101,2022-05-27,907828.5566330603
102,2022-05-31,901737.549748953
103,2022-06-01,896902.4987254125
104,2022-06-02,908793.9866161636
105,2022-06-03,899265.9977417779
106,2022-06-06,899705.5769543898
107,2022-06-07,906931.4605571884
108,2022-06-08,899572.1122918285
109,2022-06-09,882130.3095579384
110,2022-06-10,858076.7742124917
111,2022-06-13,834131.2384719898
112,2022-06-14,829978.9926621128
113,2022-06-15,838280.1743582352
114,2022-06-16,818013.4585765727
115,2022-06-17,816966.8286927671
116,2022-06-21,834500.5085003644
117,2022-06-22,833212.5745066479
118,2022-06-23,838521.531854011
119,2022-06-24,861025.8093964461
120,2022-06-27,859319.6505361276
121,2022-06-28,845891.5039065107
122,2022-06-29,848141.611345564
123,2022-06-30,841202.142908622
124,2022-07-01,849998.905589767
125,2022-07-05,846460.8641569972
126,2022-07-06,848370.369777194
127,2022-07-07,857851.5926338184
128,2022-07-08,856583.304638431
129,2022-07-11,852092.1119715134
130,2022-07-12,846830.1341853718
131,2022-07-13,841129.965219109
132,2022-07-14,837231.6759691536
133,2022-07-15,855219.6161022446
134,2022-07-18,849325.1225872926
135,2022-07-19,869946.694213773
136,2022-07-20,871252.9395591929
137,2022-07-21,875682.6317096023
138,2022-07-22,871921.2238175699
139,2022-07-25,874401.744650069
140,2022-07-26,868156.0255291206
141,2022-07-27,880074.8469827644
142,2022-07-28,889150.7109662574
143,2022-07-29,897774.3966729929
144,2022-08-01,896497.0864664163
145,2022-08-02,885502.7480374022
146,2022-08-03,896882.5324118934
147,2022-08-04,894540.6012849978
148,2022-08-05,896635.6761720199
149,2022-08-08,897430.2713870449
150,2022-08-09,895841.4012721851
151,2022-08-10,910467.6334846823
152,2022-08-11,911210.0173237132
153,2022-08-12,922809.8048479704
154,2022-08-15,926947.8500177509
155,2022-08-16,933496.1602216582
156,2022-08-17,928803.2223708129
157,2022-08-18,929314.8725012079
158,2022-08-19,921325.2507133685
159,2022-08-22,903746.2463063655
160,2022-08-23,899536.3437622621
161,2022-08-24,901166.5345366508
162,2022-08-25,909982.9966019897
163,2022-08-26,882420.3549626165
164,2022-08-29,877379.7683587316
165,2022-08-30,868957.7210641939
166,2022-08-31,861292.3116346485
167,2022-09-01,865282.7448876362
168,2022-09-02,856044.5344886034
169,2022-09-06,851312.037711775
170,2022-09-07,863228.8838884128
171,2022-09-08,868510.8279880736
172,2022-09-09,878820.8130133385
173,2022-09-12,885097.389164271
174,2022-09-13,850209.6729848838
175,2022-09-14,851032.9364094269
176,2022-09-15,846296.8627796419
177,2022-09-16,842486.5534352469
178,2022-09-19,847878.3656451281
179,2022-09-20,839310.6817108035
180,2022-09-21,825030.2297460701
181,2022-09-22,822102.8158374507
182,2022-09-23,808811.3370222966
183,2022-09-26,799802.2053700841
184,2022-09-27,796363.0879452047
185,2022-09-28,811362.3805824933
186,2022-09-29,798840.0319247473
187,2022-09-30,785170.5277993546
188,2022-10-03,
