date,ensemble
2022-01-03,1000000.0
2022-01-04,999914.1467918396
2022-01-05,998383.6369163512
2022-01-06,997147.9032638548
2022-01-07,996398.8717735288
2022-01-10,995485.6258354184
2022-01-11,997752.2008842464
2022-01-12,998977.5575172422
2022-01-13,993815.4994277952
2022-01-14,993268.6142295836
2022-01-18,983259.9847595214
2022-01-19,979512.4062156676
2022-01-20,972510.6698265076
2022-01-21,962839.799758148
2022-01-24,962935.238253784
2022-01-25,951034.7481521606
2022-01-26,946891.9131233214
2022-01-27,946481.1226221464
2022-01-28,965433.9513409575
2022-01-31,978981.8594706496
2022-02-01,982469.5225084608
2022-02-02,991856.6006676864
2022-02-03,978226.3451476364
2022-02-04,971776.4181245192
2022-02-07,969429.1725524748
2022-02-08,977696.2170245436
2022-02-09,989815.2881564328
2022-02-10,972008.4889651946
2022-02-11,958280.3151314544
2022-02-14,953876.4435058896
2022-02-15,964954.6745568007
2022-02-16,967323.778853897
2022-02-17,956072.1092951354
2022-02-18,952071.4302743834
2022-02-22,944584.3791360472
2022-02-23,928893.029038391
2022-02-24,936280.4192056272
2022-02-25,935344.148801422
2022-02-28,935077.5165122986
2022-03-01,933410.009389496
2022-03-02,936487.967264557
2022-03-03,936739.9788002016
2022-03-04,936174.8431755068
2022-03-07,928002.231880188
2022-03-08,927652.5701568606
2022-03-09,928800.71992569
2022-03-10,928191.707726288
2022-03-11,926365.8930183412
2022-03-14,925808.5293601992
2022-03-15,931778.91126709
2022-03-16,936961.3283584596
2022-03-17,941613.0615516666
2022-03-18,945033.7681159975
2022-03-21,945936.7749702455
2022-03-22,949731.2663619998
2022-03-23,942384.4176086428
2022-03-24,953350.9676757816
2022-03-25,958122.5184455876
2022-03-28,962568.4982994082
2022-03-29,973191.1977752688
2022-03-30,970759.9942787248
2022-03-31,960688.33772802
2022-04-01,964718.3813782656
2022-04-04,966027.7930985416
2022-04-05,958840.2521716465
2022-04-06,957578.9980259784
2022-04-07,963869.1962609714
2022-04-08,962997.8429524234
2022-04-11,949402.0906605074
2022-04-12,947318.7907559588
2022-04-13,955697.514008652
2022-04-14,947909.4073780482
2022-04-18,945637.6313259776
2022-04-19,957397.6058294108
2022-04-20,962756.177411358
2022-04-21,949561.6443968776
2022-04-22,924385.9022247584
2022-04-25,928566.395892834
2022-04-26,906700.3179915544
2022-04-27,913024.1686299136
2022-04-28,934072.9956902696
2022-04-29,903844.7218442004
2022-05-02,906292.3070981372
2022-05-03,910239.807646828
2022-05-04,937113.8195523456
2022-05-05,908846.7363335956
2022-05-06,905721.6364737249
2022-05-09,880297.4622837452
2022-05-10,881337.0368164142
2022-05-11,871128.4266179278
2022-05-12,868277.8944616321
2022-05-13,886724.4074338992
2022-05-16,885754.5041172947
2022-05-17,903478.5921160968
2022-05-18,870303.0800930636
2022-05-19,869432.8118373225
2022-05-20,869320.9287868846
2022-05-23,869708.4661516079
2022-05-24,869653.8428153575
2022-05-25,870103.1570959284
2022-05-26,871679.6645846979
2022-05-27,873744.8223688243
2022-05-31,873488.077332928
2022-06-01,872919.6154431346
2022-06-02,875206.5102720568
2022-06-03,873028.2174893876
2022-06-06,873720.4607515335
2022-06-07,874379.5868073578
2022-06-08,873554.8247186624
2022-06-09,871213.8023742791
2022-06-10,868711.7420338326
2022-06-13,865754.9240670853
2022-06-14,865452.3077627412
2022-06-15,865717.330041855
2022-06-16,861743.9355797654
2022-06-17,859982.1765718309
2022-06-21,862787.6029066372
2022-06-22,861203.1415108853
2022-06-23,860875.9421586742
2022-06-24,864195.0618454418
2022-06-27,864849.0011582774
2022-06-28,863491.6199514864
2022-06-29,861889.5047039735
2022-06-30,860178.0288221071
2022-07-01,862517.813068527
2022-07-05,860048.126086685
2022-07-06,859692.3176150053
2022-07-07,862892.67490538
2022-07-08,862649.2236459653
2022-07-11,860286.0074265974
2022-07-12,858002.5382436063
2022-07-13,857120.9135695418
2022-07-14,855020.5869988764
2022-07-15,861170.424750082
2022-07-18,858914.3520032405
2022-07-19,868336.2602469081
2022-07-20,869122.0612668666
2022-07-21,875091.8454456081
2022-07-22,872954.0278604031
2022-07-25,873859.903576643
2022-07-26,868913.9641829814
2022-07-27,878141.6598490505
2022-07-28,886195.7759252681
2022-07-29,895860.6464571895
2022-08-01,894111.5535214137
2022-08-02,888592.1982517604
2022-08-03,898829.9360409221
2022-08-04,898464.6381172466
2022-08-05,895250.0216277599
2022-08-08,897190.9046764583
2022-08-09,891813.7774805354
2022-08-10,909105.7473913784
2022-08-11,907689.0601678296
2022-08-12,922157.1219242916
2022-08-15,925997.0069773234
2022-08-16,929141.4702977962
2022-08-17,922057.905566408
2022-08-18,921460.2380204486
2022-08-19,913946.951062521
2022-08-22,898136.3785308741
2022-08-23,893062.6206641293
2022-08-24,895220.9200054492
2022-08-25,906296.5345020464
2022-08-26,878691.2967690143
2022-08-29,873482.5787840748
2022-08-30,865422.4821594867
2022-08-31,859058.0276747303
2022-09-01,867640.5235160999
2022-09-02,857172.2577781314
2022-09-06,857177.5128081036
2022-09-07,872670.4041693402
2022-09-08,883588.1823967227
2022-09-09,893135.6423087406
2022-09-12,899449.2092824115
2022-09-13,867246.5004796009
2022-09-14,867567.6877037678
2022-09-15,867991.3947428379
2022-09-16,862264.1512858067
2022-09-19,863180.9002166004
2022-09-20,852939.8921111164
2022-09-21,839590.6678502446
2022-09-22,838780.3119393826
2022-09-23,830938.3721905174
2022-09-26,822938.0895029488
2022-09-27,819629.531875412
2022-09-28,836975.9981001395
2022-09-29,827955.891195259
2022-09-30,816764.6378314018
2022-10-03,835195.1341816597
