,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,999654.423097992,2022-01-04,-0.0003455769020082,2022-01-04
2,999592.8029647828,2022-01-05,-6.164143506537378e-05,2022-01-05
3,999289.799571228,2022-01-06,-0.0003031268258996,2022-01-06
4,998118.5642601012,2022-01-07,-0.0011720677141199,2022-01-07
5,997760.318141174,2022-01-10,-0.0003589214064889,2022-01-10
6,999907.032276916,2022-01-11,0.002151532884913,2022-01-11
7,1000862.7682373044,2022-01-12,0.0009558248212455,2022-01-12
8,994712.3394424432,2022-01-13,-0.0061451269744932,2022-01-13
9,994383.274806976,2022-01-14,-0.0003308138669033,2022-01-14
10,985828.395759582,2022-01-18,-0.0086032008624183,2022-01-18
11,979174.0247848508,2022-01-19,-0.0067500297245994,2022-01-19
12,971555.4178588864,2022-01-20,-0.0077806464766447,2022-01-20
13,959764.150157928,2022-01-21,-0.012136484943848,2022-01-21
14,963398.216060638,2022-01-24,0.0037864155502287,2022-01-24
15,952456.89438858,2022-01-25,-0.0113570084412211,2022-01-25
16,950311.6271942134,2022-01-26,-0.0022523509536287,2022-01-26
17,941479.263363647,2022-01-27,-0.0092941763289204,2022-01-27
18,963021.7652488704,2022-01-28,0.0228815468630267,2022-01-28
19,962131.956459808,2022-01-31,-0.0009239757824501,2022-01-31
20,962396.6981582636,2022-02-01,0.0002751615271463,2022-02-01
21,962865.1122482296,2022-02-02,0.0004867162271673,2022-02-02
22,959081.0189750668,2022-02-03,-0.0039300346694743,2022-02-03
23,960676.7659423824,2022-02-04,0.0016638291611912,2022-02-04
24,960450.3259887692,2022-02-07,-0.000235708785349,2022-02-07
25,961045.6068321224,2022-02-08,0.0006197934731715,2022-02-08
26,962650.093881988,2022-02-09,0.0016695222770484,2022-02-09
27,959251.657392883,2022-02-10,-0.0035302925857521,2022-02-10
28,953847.5877304076,2022-02-11,-0.0056336307796048,2022-02-11
29,953625.6455856322,2022-02-14,-0.0002326809310315,2022-02-14
30,954658.9249084472,2022-02-15,0.0010835271970695,2022-02-15
31,954817.8466453552,2022-02-16,0.0001664696498,2022-02-16
32,950725.9786010742,2022-02-17,-0.0042854959808902,2022-02-17
33,950560.17602005,2022-02-18,-0.0001743957615086,2022-02-18
34,949724.5939521788,2022-02-22,-0.0008790417365995,2022-02-22
35,947298.9524879454,2022-02-23,-0.0025540472255639,2022-02-23
36,950382.5099731444,2022-02-24,0.0032551049244806,2022-02-24
37,950220.7846862793,2022-02-25,-0.0001701686270192,2022-02-25
38,950220.7846862793,2022-02-28,0.0,2022-02-28
39,950220.7846862793,2022-03-01,0.0,2022-03-01
40,950220.7846862793,2022-03-02,0.0,2022-03-02
41,949661.6141563414,2022-03-03,-0.0005884637959401,2022-03-03
42,948619.772478485,2022-03-04,-0.0010970662205631,2022-03-04
43,948510.9224815367,2022-03-07,-0.0001147456547988,2022-03-07
44,948510.9224815367,2022-03-08,0.0,2022-03-08
45,948510.9224815367,2022-03-09,0.0,2022-03-09
46,948510.9224815367,2022-03-10,0.0,2022-03-10
47,948510.9224815367,2022-03-11,0.0,2022-03-11
48,948041.7168777466,2022-03-14,-0.0004946760154987,2022-03-14
49,947989.339276123,2022-03-15,-5.5248203418845065e-05,2022-03-15
50,947989.339276123,2022-03-16,0.0,2022-03-16
51,948661.5885360716,2022-03-17,0.0007091316664615,2022-03-17
52,950198.986438751,2022-03-18,0.0016205967662838,2022-03-18
53,949641.670637512,2022-03-21,-0.0005865253585753,2022-03-21
54,952459.6247253416,2022-03-22,0.0029673867259192,2022-03-22
55,948396.3304214476,2022-03-23,-0.0042661066132496,2022-03-23
56,952956.9040496824,2022-03-24,0.0048087212929306,2022-03-24
57,953486.6209037778,2022-03-25,0.0005558665369276,2022-03-25
58,959579.2315185544,2022-03-28,0.0063898228682031,2022-03-28
59,967019.8008186338,2022-03-29,0.0077539915993225,2022-03-29
60,962079.8753829952,2022-03-30,-0.005108401535787,2022-03-30
61,952303.1371826167,2022-03-31,-0.0101620857587177,2022-03-31
62,952292.0079658504,2022-04-01,-1.168663247219648e-05,2022-04-01
63,959286.7467353818,2022-04-04,,2022-04-04
64,949421.3652618404,2022-04-05,-0.0102840798198399,2022-04-05
65,942546.6813491818,2022-04-06,-0.0072409197477484,2022-04-06
66,941935.2567367548,2022-04-07,-0.0006486942498716,2022-04-07
67,942021.1940132136,2022-04-08,9.123480180206478e-05,2022-04-08
68,941647.9680335994,2022-04-11,-0.0003961970091396,2022-04-11
69,941601.0661140436,2022-04-12,-4.980833724266276e-05,2022-04-12
70,941732.1007286068,2022-04-13,0.0001391614976644,2022-04-13
71,941653.9621185296,2022-04-14,-8.297328934259163e-05,2022-04-14
72,941346.6233116144,2022-04-18,-0.0003263818974686,2022-04-18
73,942298.9654151913,2022-04-19,0.0010116805860802,2022-04-19
74,943426.348130798,2022-04-20,0.0011964172274241,2022-04-20
75,941765.0110855098,2022-04-21,-0.0017609610422474,2022-04-21
76,937766.1326004023,2022-04-22,-0.0042461531677612,2022-04-22
77,937604.090568542,2022-04-25,-0.0001727957816208,2022-04-25
78,937262.422525024,2022-04-26,-0.0003644054531702,2022-04-26
79,937469.4678146358,2022-04-27,0.0002209042895948,2022-04-27
80,938410.888389587,2022-04-28,0.0010042146515403,2022-04-28
81,936024.1928749082,2022-04-29,-0.0025433374060425,2022-04-29
82,935933.643912506,2022-05-02,-9.673784405528352e-05,2022-05-02
83,936008.2605339048,2022-05-03,7.972426451829939e-05,2022-05-03
84,937163.2305351256,2022-05-04,0.0012339314191114,2022-05-04
85,935697.7112686156,2022-05-05,-0.0015637822940119,2022-05-05
86,935447.16712265,2022-05-06,-0.0002677618454638,2022-05-06
87,933852.3447761532,2022-05-09,-0.0017048769856261,2022-05-09
88,933740.9617385862,2022-05-10,-0.0001192726432505,2022-05-10
89,933739.9131225584,2022-05-11,-1.1230266966366642e-06,2022-05-11
90,933546.1646301268,2022-05-12,-0.0002074972802477,2022-05-12
91,933502.110154724,2022-05-13,-4.719046263801374e-05,2022-05-13
92,933520.228159332,2022-05-16,1.9408638085582908e-05,2022-05-16
93,933990.7600822446,2022-05-17,0.0005040404146789,2022-05-17
94,933945.5064308164,2022-05-18,-4.845192625280159e-05,2022-05-18
95,933945.5064308164,2022-05-19,0.0,2022-05-19
96,933945.5064308164,2022-05-20,0.0,2022-05-20
97,934294.5863800046,2022-05-23,0.0003737690762304,2022-05-23
98,934686.5961196896,2022-05-24,0.0004195783058145,2022-05-24
99,934763.5397811888,2022-05-25,8.23202791380151e-05,2022-05-25
100,935722.7501541136,2022-05-26,0.0010261529596558,2022-05-26
101,937646.607710266,2022-05-27,0.0020560123774222,2022-05-27
102,935939.537031555,2022-05-31,-0.0018205906838181,2022-05-31
103,934593.73946228,2022-06-01,-0.0014379108008871,2022-06-01
104,937612.1049026486,2022-06-02,0.0032296016043347,2022-06-02
105,935880.514424896,2022-06-03,-0.0018468090041696,2022-06-03
106,937001.6345520016,2022-06-06,0.001197930836069,2022-06-06
107,938544.0079399104,2022-06-07,0.0016460733162395,2022-06-07
108,933631.7537147516,2022-06-08,-0.0052339093144295,2022-06-08
109,927432.6625137324,2022-06-09,-0.0066397604583972,2022-06-09
110,922738.0190551752,2022-06-10,-0.0050619777028693,2022-06-10
111,911079.3981315608,2022-06-13,-0.0126348114880452,2022-06-13
112,910764.5623199458,2022-06-14,-0.0003455635285581,2022-06-14
113,910790.0913646691,2022-06-15,2.8030344810803243e-05,2022-06-15
114,909872.1236492152,2022-06-16,-0.0010078806567588,2022-06-16
115,909831.5587215418,2022-06-17,-4.458310856980674e-05,2022-06-17
116,910218.0582000726,2022-06-21,0.000424803332909,2022-06-21
117,910197.4645908348,2022-06-22,-2.262491833926461e-05,2022-06-22
118,910360.9858989707,2022-06-23,0.0001796547611889,2022-06-23
119,910340.2410938255,2022-06-24,-2.278744966732749e-05,2022-06-24
120,910292.1253856652,2022-06-27,-5.285464268023343e-05,2022-06-27
121,909872.7215091698,2022-06-28,-0.0004607354768861,2022-06-28
122,909839.2398212424,2022-06-29,-3.6798210492294814e-05,2022-06-29
123,909791.9339977256,2022-06-30,-5.199360661345409e-05,2022-06-30
124,911366.6836879724,2022-07-01,0.0017308899226298,2022-07-01
125,908769.0942607874,2022-07-05,-0.0028502132826202,2022-07-05
126,909581.2173686976,2022-07-06,,2022-07-06
127,910384.6133041376,2022-07-07,0.0008832591527827,2022-07-07
128,909492.2701698296,2022-07-08,-0.0009801825747792,2022-07-08
129,908870.5473943704,2022-07-11,-0.000683593248509,2022-07-11
130,907712.475094604,2022-07-12,-0.00127418839029,2022-07-12
131,906535.7824644084,2022-07-13,-0.0012963274852788,2022-07-13
132,903613.9537097926,2022-07-14,-0.0032230705187088,2022-07-14
133,907672.911726379,2022-07-15,0.0044919160443708,2022-07-15
134,907608.2242359156,2022-07-18,-7.126740219687289e-05,2022-07-18
135,917345.661615562,2022-07-19,0.0107286790926159,2022-07-19
136,918219.506527328,2022-07-20,0.0009525797617302,2022-07-20
137,919890.9047214504,2022-07-21,0.0018202599511782,2022-07-21
138,918502.8603000636,2022-07-22,-0.0015089228671164,2022-07-22
139,923788.5615852352,2022-07-25,0.0057546922428144,2022-07-25
140,920219.1624599452,2022-07-26,-0.0038638702336439,2022-07-26
141,928234.4503087992,2022-07-27,0.0087101944578371,2022-07-27
142,937656.740167808,2022-07-28,0.0101507650959025,2022-07-28
143,947970.2770895,2022-07-29,0.0109992670877043,2022-07-29
144,947283.4323514932,2022-08-01,-0.0007245424826138,2022-08-01
145,946959.8535360332,2022-08-02,-0.0003415860601055,2022-08-02
146,946886.5175268168,2022-08-03,-7.744363073314275e-05,2022-08-03
147,945995.7916978828,2022-08-04,-0.0009406891031252,2022-08-04
148,946699.3861726752,2022-08-05,0.0007437606815665,2022-08-05
149,947013.7252557748,2022-08-08,0.000332036851075,2022-08-08
150,947328.5774393076,2022-08-09,0.0003324684480658,2022-08-09
151,951498.2171812052,2022-08-10,0.004401471507561,2022-08-10
152,954254.1760854716,2022-08-11,0.0028964414798704,2022-08-11
153,958413.8361444467,2022-08-12,0.0043590692744346,2022-08-12
154,957816.2616388316,2022-08-15,-0.0006235036297254,2022-08-15
155,959763.1608495706,2022-08-16,0.0020326437216757,2022-08-16
156,957736.8649583812,2022-08-17,-0.0021112457467067,2022-08-17
157,961507.583963966,2022-08-18,0.0039371137768082,2022-08-18
158,956326.9557558056,2022-08-19,-0.0053880263604394,2022-08-19
159,949182.3345659252,2022-08-22,-0.0074708980510058,2022-08-22
160,954297.2208677288,2022-08-23,0.0053887289254521,2022-08-23
161,957342.5626268382,2022-08-24,0.003191187915585,2022-08-24
162,965750.5965974804,2022-08-25,0.0087826806191206,2022-08-25
163,947492.735198402,2022-08-26,-0.0189053586540915,2022-08-26
164,947232.785256004,2022-08-29,-0.0002743556047885,2022-08-29
165,934064.3595949168,2022-08-30,-0.0139019952286892,2022-08-30
166,927230.023359489,2022-08-31,-0.007316772302919,2022-08-31
167,922030.3730958937,2022-09-01,-0.0056077242244124,2022-09-01
168,921239.5419290538,2022-09-02,-0.0008577061991833,2022-09-02
169,921078.5753416056,2022-09-06,-0.0001747282656919,2022-09-06
170,921940.5877382272,2022-09-07,0.0009358728122645,2022-09-07
171,921871.328947639,2022-09-08,-7.512283493049665e-05,2022-09-08
172,922358.7624120708,2022-09-09,0.0005287434906866,2022-09-09
173,922974.0721555706,2022-09-12,0.0006671045677397,2022-09-12
174,919348.368258476,2022-09-13,-0.0039282835850708,2022-09-13
175,919696.495171165,2022-09-14,0.0003786670262422,2022-09-14
176,917449.0052751536,2022-09-15,-0.0024437299781087,2022-09-15
177,917278.4793542858,2022-09-16,-0.0001858696449474,2022-09-16
178,917569.3458513255,2022-09-19,0.0003170972649926,2022-09-19
179,916760.7354806896,2022-09-20,-0.0008812525988274,2022-09-20
180,915301.5917623516,2022-09-21,-0.0015916298133916,2022-09-21
181,914055.7709468838,2022-09-22,-0.0013611041723079,2022-09-22
182,909150.2578538893,2022-09-23,-0.0053667546870942,2022-09-23
183,906667.7058862684,2022-09-26,-0.0027306288989908,2022-09-26
184,906155.7848485945,2022-09-27,-0.0005646181443879,2022-09-27
185,912456.7979043956,2022-09-28,0.0069535648959677,2022-09-28
186,908853.7534637448,2022-09-29,-0.0039487288043946,2022-09-29
187,908568.1940319056,2022-09-30,-0.0003141973400568,2022-09-30
188,909589.927438354,2022-10-03,0.0011245533501611,2022-10-03
189,910669.902566528,2022-10-04,,2022-10-04
190,910553.454762077,2022-10-05,-0.0001278704875639,2022-10-05
191,909362.3585866924,2022-10-06,-0.0013081013192089,2022-10-06
192,905333.112980842,2022-10-07,-0.004430847140091,2022-10-07
193,904121.4883913036,2022-10-10,-0.0013383190917972,2022-10-10
194,903648.8159891124,2022-10-11,-0.0005227974428881,2022-10-11
195,902429.4679822916,2022-10-12,-0.0013493604874432,2022-10-12
196,902078.8973424908,2022-10-13,-0.0003884742821893,2022-10-13
197,900719.0474966044,2022-10-14,-0.0015074622074549,2022-10-14
198,903103.8999608988,2022-10-17,0.0026477206970618,2022-10-17
199,905260.8325281136,2022-10-18,0.0023883548363683,2022-10-18
200,904107.2371171945,2022-10-19,-0.0012743237854416,2022-10-19
201,900100.620850181,2022-10-20,-0.0044315719447052,2022-10-20
202,908204.0163148874,2022-10-21,0.0090027662207947,2022-10-21
203,912552.6523199074,2022-10-24,0.0047881708590817,2022-10-24
204,918859.5106042856,2022-10-25,0.006911226731241,2022-10-25
205,920740.8834909432,2022-10-26,0.0020475087485576,2022-10-26
206,921378.9916296,2022-10-27,0.0006930376939897,2022-10-27
207,930093.350764274,2022-10-28,0.0094579529312486,2022-10-28
208,929441.2619237896,2022-10-31,-0.0007011004217465,2022-10-31
209,929323.6060567852,2022-11-01,-0.0001265877380577,2022-11-01
210,926621.0432104106,2022-11-02,-0.0029080966293774,2022-11-02
211,926935.5728361126,2022-11-03,0.0003394371712217,2022-11-03
212,926761.9811246868,2022-11-04,-0.0001872748403589,2022-11-04
213,926937.5284940716,2022-11-07,0.000189420124002,2022-11-07
214,926878.8620862956,2022-11-08,-6.32905734986311e-05,2022-11-08
215,925562.559955406,2022-11-09,-0.001420144729514,2022-11-09
216,930191.519330406,2022-11-10,0.0050012387873847,2022-11-10
217,930071.6375097274,2022-11-11,-0.0001288786429324,2022-11-11
218,929595.8384336472,2022-11-14,-0.0005115725035484,2022-11-14
219,930478.2101545332,2022-11-15,0.0009491993018955,2022-11-15
220,929254.400154686,2022-11-16,-0.0013152484244032,2022-11-16
221,928017.946210289,2022-11-17,-0.0013305871289832,2022-11-17
222,929939.7552946092,2022-11-18,0.0020708749137536,2022-11-18
223,928767.5027723312,2022-11-21,-0.0012605682417637,2022-11-21
224,933844.1439603803,2022-11-22,0.0054659978658768,2022-11-22
225,936150.8535161972,2022-11-23,0.0024701226331345,2022-11-23
226,937335.5874708174,2022-11-25,0.0012655374400081,2022-11-25
227,930122.6518941878,2022-11-28,-0.0076951474723071,2022-11-28
228,930434.415272331,2022-11-29,0.0003351852333757,2022-11-29
229,946322.1641119,2022-11-30,0.017075624653156,2022-11-30
230,945885.573689079,2022-12-01,-0.0004613549585734,2022-12-01
231,946141.2789510724,2022-12-02,0.0002703342445493,2022-12-02
232,929378.3816801067,2022-12-05,-0.0177171186205399,2022-12-05
233,919067.0674375532,2022-12-06,-0.0110948505429113,2022-12-06
234,918967.590814018,2022-12-07,-0.00010823652273,2022-12-07
235,924606.7219785688,2022-12-08,0.0061363765391939,2022-12-08
236,915271.9670347212,2022-12-09,-0.0100959194022213,2022-12-09
237,927307.8091672896,2022-12-12,0.0131500172255485,2022-12-12
238,931034.5456174848,2022-12-13,0.0040188774572511,2022-12-13
239,928461.5407041548,2022-12-14,-0.0027635976832884,2022-12-14
240,913333.0044797896,2022-12-15,-0.0162941980481944,2022-12-15
241,901738.603692436,2022-12-16,-0.0126946039730134,2022-12-16
242,896290.7406858442,2022-12-19,-0.006041510238426,2022-12-19
243,895782.2567991255,2022-12-20,-0.0005673202495984,2022-12-20
244,909421.0217527387,2022-12-21,0.0152255359492698,2022-12-21
245,898041.9163755415,2022-12-22,-0.0125124723368128,2022-12-22
246,906028.8777402876,2022-12-23,0.0088937511925737,2022-12-23
247,905146.1209348676,2022-12-27,-0.0009743142046659,2022-12-27
248,894873.4730772016,2022-12-28,-0.0113491596771757,2022-12-28
249,906645.1283506393,2022-12-29,0.0131545471260403,2022-12-29
250,904010.6915525434,2022-12-30,-0.0029056978477215,2022-12-30
251,897564.9800352094,2023-01-03,-0.0071301275278771,2023-01-03
252,903734.5868162152,2023-01-04,,2023-01-04
253,896823.1077199933,2023-01-05,-0.0076476868286855,2023-01-05
254,914135.4442045208,2023-01-06,0.0193040704855844,2023-01-06
255,911100.5115583416,2023-01-09,-0.003320003250525,2023-01-09
256,915947.092200279,2023-01-10,0.0053194796627298,2023-01-10
257,924022.881765556,2023-01-11,0.0088168734133731,2023-01-11
258,924981.1083951948,2023-01-12,0.0010370161264923,2023-01-12
259,926144.1618024824,2023-01-13,0.0012573807148401,2023-01-13
260,923647.984071922,2023-01-17,-0.0026952366958749,2023-01-17
261,910325.2941862104,2023-01-18,-0.0144239906495312,2023-01-18
262,902464.9012441632,2023-01-19,-0.0086347078261445,2023-01-19
263,909469.5159658428,2023-01-20,0.0077616478070481,2023-01-20
264,913482.2385290142,2023-01-23,0.0044121572990929,2023-01-23
265,915942.356400108,2023-01-24,0.0026931206402605,2023-01-24
266,911754.7812078472,2023-01-25,-0.0045718763446196,2023-01-25
267,914311.7429426188,2023-01-26,0.0028044401712754,2023-01-26
268,915565.4616331096,2023-01-27,0.0013712157807967,2023-01-27
269,911429.2602842328,2023-01-30,-0.0045176467682597,2023-01-30
270,918634.7465040204,2023-01-31,0.0079056999086692,2023-01-31
271,921515.3831327434,2023-02-01,0.0031357801777973,2023-02-01
272,924792.8591306682,2023-02-02,0.0035566156115407,2023-02-02
273,917706.9498327252,2023-02-03,-0.0076621583179221,2023-02-03
274,918885.8021680828,2023-02-06,0.0012845629376267,2023-02-06
275,919962.8529294964,2023-02-07,0.0011721268941933,2023-02-07
276,913285.4452756878,2023-02-08,-0.0072583448696273,2023-02-08
277,905994.373258781,2023-02-09,-0.007983344150093,2023-02-09
278,914235.5189268108,2023-02-10,0.0090962437640613,2023-02-10
279,919789.0898344036,2023-02-13,0.0060745516801972,2023-02-13
280,917349.8317335123,2023-02-14,-0.0026519754668217,2023-02-14
281,922032.7636022564,2023-02-15,0.0051048484523015,2023-02-15
282,914935.195438194,2023-02-16,-0.0076977396511739,2023-02-16
283,921282.4310743328,2023-02-17,0.0069373608839029,2023-02-17
284,904338.4105024332,2023-02-21,-0.0183917765067337,2023-02-21
285,901902.5076490398,2023-02-22,-0.0026935744684781,2023-02-22
286,902481.5569311138,2023-02-23,0.0006420309037429,2023-02-23
287,899686.7857694621,2023-02-24,-0.0030967626320866,2023-02-24
288,901912.6931882856,2023-02-27,0.0024740914883167,2023-02-27
289,894769.7051671977,2023-02-28,-0.0079198220349212,2023-02-28
290,891271.6051694866,2023-03-01,-0.0039094975807852,2023-03-01
291,904063.9395162578,2023-03-02,0.0143529023841599,2023-03-02
292,916033.2053396832,2023-03-03,0.0132394018832668,2023-03-03
293,916745.3487723004,2023-03-06,0.0007774209804469,2023-03-06
294,903693.7640402446,2023-03-07,-0.0142368704128515,2023-03-07
295,907691.6947348248,2023-03-08,0.0044239883616172,2023-03-08
296,896705.7530386577,2023-03-09,-0.0121031642791183,2023-03-09
297,895809.0967155071,2023-03-10,-0.0009999448761337,2023-03-10
298,895834.8759574505,2023-03-13,2.87776067890988e-05,2023-03-13
299,895818.6698966594,2023-03-14,-1.809045531264708e-05,2023-03-14
300,895647.8776382061,2023-03-15,-0.0001906549441228,2023-03-15
301,895631.6381240459,2023-03-16,-1.813158336627652e-05,2023-03-16
302,895391.5166175456,2023-03-17,-0.0002681029747935,2023-03-17
303,895732.4873550029,2023-03-20,0.0003808063077761,2023-03-20
304,895652.0057113261,2023-03-21,-8.985008896400526e-05,2023-03-21
305,895602.981771812,2023-03-22,-5.473547672707468e-05,2023-03-22
306,895493.5950126261,2023-03-23,-0.0001221375558279,2023-03-23
307,895952.1688941568,2023-03-24,0.0005120906325679,2023-03-24
308,896201.8392936318,2023-03-27,0.0002786648753618,2023-03-27
309,896456.2115768045,2023-03-28,0.000283833699084,2023-03-28
310,897628.2102943034,2023-03-29,0.0013073686169648,2023-03-29
311,897909.7522307963,2023-03-30,0.000313650945084,2023-03-30
312,899153.7238837809,2023-03-31,0.0013854083329578,2023-03-31
313,898915.2942313761,2023-04-03,-0.0002651711782661,2023-04-03
314,897167.2212630839,2023-04-04,-0.0019446470423968,2023-04-04
